"Ms","Dir","Vk","VkName","Scan","Flags","Decoded","Extended","Injected","Extra","Phase"
"83.2","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"99","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"115.9","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"130.5","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"400.6","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"415.8","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"448.2","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"465.6","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"638.5","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"653.9","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"700.3","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"715.5","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"859.8","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"875.8","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"923.3","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"938.2","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"1543.2","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"1559.7","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"1590.9","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"1606.5","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"1701.5","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"1716.5","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"1764.1","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"1780.6","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"1861.1","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"1876.4","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"1909.1","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"1924.9","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"2898.3","DN","0xA2","LCTRL","0x1D","0x00","-","False","False","0x0","watch"
"2979.2","UP","0xA2","LCTRL","0x1D","0x80","-","False","False","0x0","watch"
"3123.7","DN","0xA2","LCTRL","0x1D","0x00","-","False","False","0x0","watch"
